region;ejecutivo;distr;venta_prom
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS TULUA;1016389
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;695534
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;524271
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;2737020
ANTIOQUIA;Ejecutivo ANTIOQUIA;MAXTIENDAS TAT CAUCASIA;904512
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;786999
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;1000978
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;62871
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;10153922
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;3474519
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;651019
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;2212809
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;4307261
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;5752707
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;2193176
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;237894
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;1560664
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;3477239
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;2064241
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;6813227
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;15488
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;5190827
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;1804662
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;1352763
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;5859419
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;817730
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;467023
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;4124092
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;530816
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;3597617
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;1245397
EJE CAFETERO;Ejecutivo EJE CAFETERO;MULTIVENTAS EJE;8164836
LLANOS;Ejecutivo LLANOS;LA NIEVE YOPAL;241830
ANTIOQUIA;Ejecutivo ANTIOQUIA;EPA;7669055
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;1091372
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;17900
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;3887177
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2200676
LLANOS;Ejecutivo LLANOS;LA NIEVE DUITAMA;83098
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;2537563
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;179013
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;2247084
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;172889
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;1062350
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;167556
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;1561945
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;1162593
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;232003
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;3735440
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;585857
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;618978
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;1966538
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;6398484
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;3032082
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;803434
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;140065
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;9038371
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;6548920
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;6852
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;471975
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;565030
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1292088
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;763447
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;141443
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;629413
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;563773
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;2545358
EJE CAFETERO;Ejecutivo EJE CAFETERO;CG ANDINA S.A.S;547404
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1657776
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;551156
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1810316
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;813511
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;3910268
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;742576
PACIFICO;Ejecutivo PACIFICO;MULTIVENTAS CALI;129510
EJE CAFETERO;Ejecutivo EJE CAFETERO;BARACALDO;45980
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;1417030
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;818518
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;808074
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;1784832
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1897516
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;1593217
ANTIOQUIA;Ejecutivo ANTIOQUIA;COMERC EPA S A S (APARTADO);14819321
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;668269
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;873719
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;350565
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;157224
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;100265
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;25247
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;7359
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;1668109
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO GUAJIRA;2598728
LLANOS;Ejecutivo LLANOS;LA NIEVE DUITAMA;89178
ANTIOQUIA;Ejecutivo ANTIOQUIA;MAXTIENDAS TAT SANTA ROSA;1014775
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS TOLIMA;563812
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;2115418
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;782143
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;452650
ANTIOQUIA;Ejecutivo ANTIOQUIA;COMERC EPA S A S (APARTADO);4752323
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;383285
EJE CAFETERO;Ejecutivo EJE CAFETERO;BARACALDO;3211499
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;24560
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;786425
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;2235747
COSTA 1;Ejecutivo COSTA 1;DISTRIBUIDORA CORRALITO DE PIEDRA S;3648938
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;699441
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;603912
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS TOLIMA;316002
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;10330
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;785597
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;981733
LLANOS;Ejecutivo LLANOS;LA NIEVE DUITAMA;268763
EJE CAFETERO;Ejecutivo EJE CAFETERO;BARACALDO;2371806
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;4819142
COSTA 1;Ejecutivo COSTA 1;DISTRIBUIDORA CORRALITO DE PIEDRA S;4280909
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;12728747
ANTIOQUIA;Ejecutivo ANTIOQUIA;MAXTIENDAS TAT CAUCASIA;1224018
COSTA 2;Ejecutivo COSTA 2;DISAM GUAJIRA;2696056
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;5917914
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;14782727
ANTIOQUIA;Ejecutivo ANTIOQUIA;COMERC EPA S A S (APARTADO);5232264
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS POPAYAN;800973
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;759508
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;737459
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;1170816
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;1001557
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;4489618
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;986080
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;1572349
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;2064532
EJE CAFETERO;Ejecutivo EJE CAFETERO;BARACALDO;3012703
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;9304402
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;678302
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;3667866
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;113010
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1154495
COSTA 1;Ejecutivo COSTA 1;DISTRIBUIDORA CORRALITO DE PIEDRA S;2192090
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;1883538
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;8835941
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1270799
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;7748450
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;4925992
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;173869
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;13991180
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;1749259
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;133655
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;7688515
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;1008075
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO GUAJIRA;7744773
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;101784
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;2076426
EJE CAFETERO;Ejecutivo EJE CAFETERO;CG ANDINA S.A.S;1297515
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;4356073
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;16345
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;777718
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;1325732
LLANOS;Ejecutivo LLANOS;LA NIEVE YOPAL;82505
PACIFICO;Ejecutivo PACIFICO;MULTIVENTAS CALI;1355444
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;925581
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2971502
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;1857913
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;8367133
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;915416
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;223533
PACIFICO;Ejecutivo PACIFICO;CIA DE DSIERRA S A S VALLE;1175793
COSTA 2;Ejecutivo COSTA 2;DISAM GUAJIRA;7161761
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;781025
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;341548
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;2063245
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;98948
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1108907
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;7802208
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;1513111
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;733311
ANTIOQUIA;Ejecutivo ANTIOQUIA;MAXTIENDAS TAT SANTA ROSA;1067685
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;2819136
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS TOLIMA;2420505
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;2341595
COSTA 2;Ejecutivo COSTA 2;SANTANA;13882854
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2327471
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;662173
ANTIOQUIA;Ejecutivo ANTIOQUIA;MAXTIENDAS TAT SANTA ROSA;42762
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1608071
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;3727505
COSTA 1;Ejecutivo COSTA 1;DISTRIBUIDORA CORRALITO DE PIEDRA S;1381282
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;1677929
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1366109
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;645281
EJE CAFETERO;Ejecutivo EJE CAFETERO;BARACALDO;2714349
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;287931
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;513390
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;572612
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;282243
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;462654
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2237942
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;389829
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;861985
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;2892535
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;1863603
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;2310940
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;2956522
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;547059
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;665224
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;5704133
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;3433327
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;7964491
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;461080
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;1329215
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;681751
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;2374139
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;6119609
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;3469808
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;1262469
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;1160500
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;2589827
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2010450
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;742348
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;1211093
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;451226
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;541463
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;7387678
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;353357
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1152559
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1097076
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;1169239
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;10793855
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1148277
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;214019
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;33302
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;1826848
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;1753565
ANTIOQUIA;Ejecutivo ANTIOQUIA;EPA;5574044
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1276501
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;3345044
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;205350
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;2115729
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;451425
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;780239
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;1274156
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS POPAYAN;1030130
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;4072565
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;4151134
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;1252509
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;3095511
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;1205869
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;606307
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;834059
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;794110
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;4417389
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;1793471
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;470062
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;336301
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;4070488
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1987086
PACIFICO;Ejecutivo PACIFICO;CIA DE DSIERRA S A S VALLE;34510
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;58116983
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1220965
ANTIOQUIA;Ejecutivo ANTIOQUIA;DISTRIYOL;2917939
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;1475213
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;6294738
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;2521775
COSTA 2;Ejecutivo COSTA 2;DISAM GUAJIRA;5873195
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;5008022
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;2171855
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;5745666
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;1189146
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;1381054
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;982829
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;132106
LLANOS;Ejecutivo LLANOS;LA NIEVE DUITAMA;43667
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;1170768
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;856827
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1490063
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;111001
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;227420
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;123479
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;390532
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS TULUA;457338
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;56350
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;270093
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;163535
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;993362
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2053415
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;1301731
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;1623259
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;1895110
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;945058
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2749576
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;8643353
ANTIOQUIA;Ejecutivo ANTIOQUIA;MAXTIENDAS TAT SANTA ROSA;3982448
LLANOS;Ejecutivo LLANOS;LA NIEVE DUITAMA;89630
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;4724066
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;530218
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;1901116
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;2584426
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;854733
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;3275598
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1139332
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;11453302
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1577929
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;4557376
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;111019
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;1951147
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;4009146
PACIFICO;Ejecutivo PACIFICO;CIA DE DSIERRA S A S VALLE;619802
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;122788
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;1432986
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;6812682
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;127262
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;136556
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;1929619
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;415566
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1753153
LLANOS;Ejecutivo LLANOS;LA NIEVE DUITAMA;108089
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;1407875
PACIFICO;Ejecutivo PACIFICO;MULTIVENTAS CALI;19860430
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS TOLIMA;9523524
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;4385004
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;1196772
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;287180
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;1383503
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;3314245
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;163335
COSTA 2;Ejecutivo COSTA 2;DISAM GUAJIRA;2772996
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;2350373
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1170581
EJE CAFETERO;Ejecutivo EJE CAFETERO;BARACALDO;2599538
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;7461405
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;779321
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS TOLIMA;2125182
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;396722
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;3582766
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;2000646
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;87945
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1303626
ANTIOQUIA;Ejecutivo ANTIOQUIA;DISTRIYOL;1934723
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;5644847
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;9588031
